Tipo de Obra;Nro. GEX;Fecha Vencimiento;Estado;Regional;Solicitantes;Fecha de Solicitud;Fecha de Resolución;Fecha de Inscripción;Cadual;Volumen;Uso;Destino;Lat;Lon;Mes Inicio;Mes Final;Horas x Año;Depto.-Padrón;Id Solicitud;Codigo Cuencas de nivel 5;Sección Judicial;Cuencas de nivel 3;Curso a Utilizar;Área de Cuenca;Área de Embalse;Volúmen de Embalse;Altura Máxima;Tipo de acuifero;profundidad;Diámetro;Caudal Ensayado;Nivel Estático;Nivel Dinámico;Caudal Máximo;Codigo Cuencas de nivel 2;Accion Solicitud;Tipo Resolución
Toma;SGRH-01040200146;30/6/2099;Registrada;ROCHA;Aguas De La Costa ;1/1/2001;15/1/2002;15/1/2002;70;6500000;Consumo humano;Abastecimiento a poblaciones;-34,79346515;-54,90872687;4;3;8640;MALDONADO-8913;238406;30120;6;Ao. SAN CARLOS;Ao. San Carlos;;;;;;;;;;;;30;Nueva;Permiso de uso
Represa Grande;SGRH-02040000290;15/5/2026;Registrada;SALTO;REPRESA DEL CHINGOLO S.A. ;1/1/2002;24/4/2003;28/4/2003;0;8000000;Riego;Arroz;-32,14536156;-58,02599347;12;3;2880;PAYSANDÚ-3042, PAYSANDÚ-3063, PAYSANDÚ-3076, PAYSANDÚ-3133, PAYSANDÚ-3150, PAYSANDÚ-8682, PAYSANDÚ-9219, PAYSANDÚ-9220;239154;17910;12;RÍO QUEGUAY GRANDE entre Ao. QUEBRACHO GRANDE y Río Uruguay;Ao. Chingolo;3755;268;8000000;10,4;;;;;;;;17;Nueva;Concesión
Represa Chica;SGRH-2004-10-004-0510-1-166;28/6/2021;Registrada;TACUAREMBÓ;Miriam María Navarro Freitas;5/8/2004;28/6/2011;11/7/2011;0;1505000;Riego;Arroz;-32,14394109;-55,37530776;12;3;2880;TACUAREMBÓ-1583;239493;53666;;RÍO TACUAREMBÓ entre Ao. YAGUARÍ y Ao. Caraguatá;Cañada sin nombre;310;106,7;2624000;7,7;;;;;;;;53;Renov/Modif;Concesión
Pozo;SGRH-2004-10-004-0510-1-170;17/2/2025;Registrada;SAN JOSÉ;OSE ;11/8/2004;17/2/1995;21/3/1995;62;357120;Consumo humano;Abastecimiento a poblaciones;-34,71753094;-56,43898522;12;11;5760;SAN JOSÉ-IMSJ;239497;66200;8;RÍO SANTA LUCÍA entre Ao. TROPA VIEJA y Ao. De Las Brujas Grande;662;;;;;;36;0,4;62;9,8;18,5;;66;Nueva;Autorización
Pozo;SGRH-2004-10-004-0510-1-181;26/3/2020;Archivada con Resolución;TACUAREMBÓ;WEYERHAEUSER PRODUCTOS ;17/8/2004;26/2/2010;26/3/2010;6,5;17280;Industrial;Forestal;-31,63879068;-55,90373059;12;11;2640;TACUAREMBÓ-3167;239506;52422;5;Ao. TACUAREMBÓ CHICO entre Ao. TRES CRUCES y Ao. Batoví;524;;;;;AMBOS;101,8;203;6,5;4;44;;52;Nueva;Permiso de uso
Pozo;SGRH-2004-10-004-0510-1-182;5/5/2020;Archivada con Resolución;TACUAREMBÓ;WEYERHAEUSER PRODUCTOS ;17/8/2004;5/5/2010;11/5/2010;8;21120;Industrial;Forestal;-31,64094885;-55,90034904;12;11;2640;TACUAREMBÓ-3167;239507;52422;5;Ao. TACUAREMBÓ CHICO entre Ao. TRES CRUCES y Ao. Batoví;524;;;;;AMBOS;88;0,36;8;;50;;52;Nueva;Permiso de uso
Represa Chica;SGRH-2004-10-004-0510-1-285;30/6/2021;Registrada;RÍO BRANCO;Ricor S.A. ;24/11/2004;16/10/2014;3/11/2014;0;850000;Riego;Arroz;-32,16385753;-53,99977813;12;3;2880;CERRO LARGO-1766;239591;41403;;RÍO TACUARÍ entre Ao. CHUY y Ao. Rabón;Cda sin nombre;227;34,3;812050;7;;;;;;;;41;Nueva;Concesión
Represa Mediana;SGRH-2004-10-004-0510-1-288;4/7/2027;Registrada;ARTIGAS;Juan Ángel Villamor;26/11/2004;4/7/2017;19/7/2017;0;4097400;Riego;Arroz;-30,55123187;-56,90714164;12;3;2880;ARTIGAS-2271, ARTIGAS-3328, ARTIGAS-4503, ARTIGAS-5319, ARTIGAS-5838;239594;10840;;RÍO CUAREIM entre Ao. CUARÓ GRANDE y Ao. Yucutujá;Cda. Zanja José Juan;875;98,8;4097400;13;;;;;;;;10;Nueva;Concesión
Pozo;SGRH-2004-10-004-0510-1-291;16/2/2021;Registrada;TACUAREMBÓ;Conaprole ;29/11/2004;16/2/2011;24/2/2011;5;18000;Industrial;Otros;-30,93393288;-55,54669012;12;11;3600;RIVERA-4848;239598;51700;9;RÍO TACUAREMBÓ entre Ao. CUÑAPIRÚ y Ao. Buena Orden;517;;;;;;61;0,15;6,5;17;24;;51;Nueva;Permiso de uso
Represa Mediana;SGRH-2005-10-004-0510-1-200;23/3/2019;Archivada con Resolución;RÍO BRANCO;Detysul ;17/10/2005;23/3/2009;2/4/2009;0;1400000;Riego;Arroz;-32,36535506;-54,83191407;12;3;2880;CERRO LARGO-11254, CERRO LARGO-11288, CERRO LARGO-182, CERRO LARGO-186;239810;50610;7;RÍO NEGRO entre Ao. FRAILE MUERTO y Ao. Tupambaé;Cda. de la Estancia/Ao. Laureles;1250;86;1352000;4,6;;;;;;;;50;Nueva;Concesión
Represa Chica;SGRH-2005-10-004-0510-1-238;21/10/2024;Archivada con Resolución;RÍO BRANCO;Ocariz Gianola ;17/11/2005;21/10/2014;24/10/2014;0;1950000;Riego;Arroz;-31,90325057;-54,43030837;12;3;2880;CERRO LARGO-10188, CERRO LARGO-1406, CERRO LARGO-5967;239838;50310;5;RÍO NEGRO entre Ao. LECHIGUANA y Ao. Bañados De Aceguá;Cda. Moyano;486;83,8;1945000;6,9;;;;;;;;50;Renov/Modif;Concesión
Represa Chica;SGRH-2005-10-004-0510-1-33;9/2/2021;Registrada;TACUAREMBÓ;Carolina Diaz Tieghi;10/3/2005;9/2/2011;9/3/2011;0;270000;Otros usos agropecuarios;Abrevadero de ganado;-31,64707454;-55,56418481;4;3;8640;RIVERA-3940, RIVERA-9194;239888;51749;;RÍO TACUAREMBÓ entre Ao. CUÑAPIRÚ y Ao. Buena Orden;Cda. sin nombre;488;25,3;270000;4,1;;;;;;;;51;Cesión;Concesión
Represa Chica;SGRH-2005-10-004-0510-1-61;30/6/2024;Registrada;ARTIGAS;Germinel Moline;13/4/2005;13/3/2017;5/4/2017;0;927575;Riego;Arroz;-30,46414225;-57,69644535;12;3;2880;ARTIGAS-4550, ARTIGAS-4617;239918;11400;;RÍO URUGUAY entre Ao. ÑAQUIÑÁ y Ao. Mandiyú;Cañada Chico Machado;320;29,5;545000;6,5;;;;;;;;11;Renov/Modif;Concesión
Represa Chica;SGRH-2005-10-004-0510-1-95;23/3/2019;Archivada con Resolución;RÍO BRANCO;Walter Gomes Vaz;10/5/2005;23/3/2009;2/4/2009;0;1280000;Riego;Arroz;-32,74566091;-55,28270025;12;3;2880;CERRO LARGO-5257, CERRO LARGO-714;239951;50923;9;RÍO NEGRO entre Ao. DEL CORDOBÉS y Río Tacuarembó;Cda. sin nombre;295;42,2;1897000;10,5;;;;;;;;50;Nueva;Concesión
Represa Mediana;SGRH-2006-10-004-0510-1-112;7/7/2019;Registrada;ARTIGAS;Moralar S.A. ;27/6/2006;7/7/2009;10/7/2009;0;550000;Riego;Caña de azúcar;-30,33455627;-57,5794968;12;3;2880;ARTIGAS-3822, ARTIGAS-5043, ARTIGAS-5045;239970;11107;;RÍO URUGUAY entre Ao. ITACUMBÚ y Ao. Lenguazo;Cda. del Sauzal;582;28,83;549690;6,1;;;;;;;;11;Nueva;Concesión
Represa Grande;SGRH-2006-10-004-0510-1-113;21/4/2019;Archivada con Resolución;SALTO;Martín y Claudia Echenagusía;27/6/2006;21/4/2009;7/5/2009;0;2209925;Riego;Arroz;-30,97855786;-57,15419302;12;3;2880;ARTIGAS-3487, ARTIGAS-571;239971;12550;6;RÍO ARAPEY CHICO entre Ao. DE LAS CAÑAS y Ao. Ceballos Grande;Cda. /Zanja de los Tres Capones/Ao. de las Cañas;1032;64;2210000;11,8;;;;;;;;12;Nueva;Concesión
Represa Grande;SGRH-2006-10-004-0510-1-131;30/6/2021;Registrada;FRAY BENTOS;Nalmer S.A. ;19/7/2006;30/5/2014;30/6/2014;0;1774000;Riego;Cereales/Oleaginosas;-32,94087761;-57,74916636;12;3;2880;RÍO NEGRO-1734, RÍO NEGRO-1735, RÍO NEGRO-1736;239990;58530;4;RÍO NEGRO entre Ao. COLADERAS y Ao. Del Abrojal;Cda. Mala;1231;93;1774000;7;;;;;;;;58;Nueva;Concesión
Pozo;SGRH-2006-10-004-0510-1-177;20/3/2019;Registrada;SAN JOSÉ;UTE ;21/8/2006;20/3/2009;25/3/2009;14,8;31968;Industrial;Otros;-34,75075665;-56,54080639;12;11;2160;SAN JOSÉ-18243;240036;24800;;RÍO DE LA PLATA entre Ao. DEL TIGRE y Río Santa Lucía;247;;;;;;20;0,2;14,8;5,5;10,5;;24;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-178;27/11/2019;Registrada;SAN JOSÉ;UTE ;21/8/2006;27/11/2009;7/12/2009;15;32400;Industrial;Generación de energía;-34,74951466;-56,54492336;12;11;2160;SAN JOSÉ-18243;240037;24710;;RÍO DE LA PLATA entre Ao. MAURICIO y Ao. Del Tigre;248;;;;;;20;0,2;20;4;8;;24;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-182;16/12/2019;Registrada;SAN JOSÉ;UTE ;21/8/2006;16/12/2009;28/12/2009;12;25920;Industrial;Generación de energía;-34,74936581;-56,54714987;12;11;2160;SAN JOSÉ-18243;240042;24710;;RÍO DE LA PLATA entre Ao. MAURICIO y Ao. Del Tigre;247;;;;;;20;0,2;16;4,5;11;;24;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-183;20/3/2019;Archivada con Resolución;SAN JOSÉ;UTE ;21/8/2006;7/7/2009;10/7/2009;12,3;26568;Industrial;Otros;-34,74758865;-56,54296222;12;11;2160;SAN JOSÉ-18243;240043;24800;;RÍO DE LA PLATA entre Ao. DEL TIGRE y Río Santa Lucía;248;;;;;;20;0,2;12,3;4;9;;24;Nueva;Permiso de uso
Represa Mediana;SGRH-2006-10-004-0510-1-213;27/11/2019;Registrada;SALTO;Arié Stolovas Grois;20/9/2006;27/11/2009;7/12/2009;0;0;Riego;Arroz;-31,24778;-57,00201;12;3;2880;SALTO-10329, SALTO-915;240075;13578;6;RÍO ARAPEY GRANDE entre Ao. ARERUNGUÁ y Ao. Valentín Grande;Cañada del Sauce;575;42;1088390;7,7;;;;;;;;13;Nueva;Concesión
Represa Grande;SGRH-2006-10-004-0510-1-225;31/8/2019;Archivada con Resolución;SAN JOSÉ;Frigorífico Canelones S.A. ;22/9/2006;31/8/2009;7/9/2009;0;150000;Industrial;Otros;-34,54400906;-56,25823142;4;3;8640;CANELONES-25014;240088;63505;;Ao. CANELÓN GRANDE entre Ao. CANELÓN CHICO y Río Santa Lucía;Cda. ;1800;21,2;141200;5,3;;;;;;;;63;Nueva;Concesión
Represa Mediana;SGRH-2006-10-004-0510-1-227;20/6/2021;Registrada;TACUAREMBÓ;Sierras  Y  Valles  S.A. ;4/10/2006;20/6/2011;28/6/2011;0;1780000;Riego;Arroz;-32,79810781;-56,081128;12;3;2880;DURAZNO-5562, DURAZNO-7354, DURAZNO-7355;240090;54635;5;RÍO NEGRO entre Ao. LAURELES y Ao. Carpintería;Gajo del Ao. Tala;590;120;1780000;7,5;;;;;;;;54;Cesión;Concesión
Pozo;SGRH-2006-10-004-0510-1-238;11/8/2020;Registrada;SAN JOSÉ;Efice S.A. ;6/10/2006;11/8/2010;17/8/2010;1;5400;Industrial;Otros;-34,77077747;-56,3812594;12;11;5400;SAN JOSÉ-8665;240100;68710;6;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;4,33;1;1;2,8;3,69;;68;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-239;23/8/2020;Registrada;SAN JOSÉ;Efice S.A. ;6/10/2006;23/8/2010;6/9/2010;1;5400;Industrial;Otros;-34,76956373;-56,3787057;12;11;5400;SAN JOSÉ-1131;240101;68710;6;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;4,5;1;1;2,31;3,66;;68;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-240;23/8/2020;Registrada;SAN JOSÉ;Efice S.A. ;6/10/2006;23/8/2010;6/9/2010;2;8640;Industrial;Otros;-34,76904398;-56,37995827;12;11;4320;SAN JOSÉ-1131;240103;68710;6;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;5,4;1;2,4;4,45;;;68;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-242;23/8/2020;Registrada;SAN JOSÉ;Efice S.A. ;6/10/2006;23/8/2010;6/9/2010;2;7680;Industrial;Otros;-34,76920794;-56,37959894;12;11;3840;SAN JOSÉ-1131;240105;68710;;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;4,5;1;2;2,33;3,54;;68;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-243;23/8/2020;Registrada;SAN JOSÉ;Efice S.A. ;6/10/2006;23/8/2010;6/9/2010;2;9600;Industrial;Otros;-34,7697956;-56,37923165;12;11;4800;SAN JOSÉ-1131;240106;68710;6;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;5;1;2,4;2,1;3,6;;68;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-244;23/8/2020;Registrada;SAN JOSÉ;Efice S.A. ;6/10/2006;23/8/2010;6/9/2010;2;10800;Industrial;Otros;-34,76934486;-56,37923943;12;11;5400;SAN JOSÉ-1131;240107;68710;6;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;3,7;1;2;2,2;3,3;;68;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-247;18/2/2024;Registrada;SAN JOSÉ;Efice S.A. ;9/10/2006;18/2/2014;10/3/2014;1,2;7776;Industrial;Química;-34,77013901;-56,38093814;12;11;6480;SAN JOSÉ-8665;240110;68710;6;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;13,24;0,15;1,2;4,7;5,63;;68;Nueva;Permiso de uso
Represa Chica;SGRH-2006-10-004-0510-1-257;25/3/2019;Archivada con Resolución;TACUAREMBÓ;Derflin S.A. ;6/11/2006;25/3/2009;27/3/2009;0;1300000;Otros usos;Control de incendios;-32,399589;-55,53992807;4;3;8640;TACUAREMBÓ-11324;240121;54000;;RÍO NEGRO entre Río Tacuarembó y Ao. Malo;Cda. sin nombre;470;89;2715000;8,5;;;;;;;;54;Renov/Modif;Concesión
Represa Grande;SGRH-2006-10-004-0510-1-269;21/4/2019;Registrada;TREINTA Y TRES;Horacio Aramendía Brundi;19/5/2006;21/4/2009;7/5/2009;0;5529200;Riego;Arroz;-33,68141235;-54,62598071;12;3;2880;LAVALLEJA-13979, LAVALLEJA-15230, LAVALLEJA-5502, LAVALLEJA-8933, LAVALLEJA-8934, LAVALLEJA-8935;240131;44460;9;RÍO CEBOLLATÍ entre Ao. TAPES GRANDE y Ao. Del Aiguá;Arroyo Sarandí;1490;216;6745000;8,4;;;;;;;;44;Renov/Modif;Concesión
Represa Chica;SGRH-2006-10-004-0510-1-86;16/7/2019;Registrada;TACUAREMBÓ;Excelente S.A. ;25/4/2006;16/7/2009;23/7/2009;0;1400000;Riego;Arroz;-31,84288994;-55,63658488;12;3;2880;TACUAREMBÓ-666;240236;51790;;RÍO TACUAREMBÓ entre Ao. CUÑAPIRÚ y Ao. Buena Orden;Ao. Sacacirolas;300;81;1715000;6,7;;;;;;;;51;Cesión;Concesión
Represa Grande;SGRH-2006-10-004-0510-1-97;16/7/2019;Registrada;ARTIGAS;Gintec S.A. ;25/5/2006;16/7/2009;22/7/2009;0;4000000;Riego;Arroz;-30,48785793;-57,15315892;12;3;2880;ARTIGAS-5165, ARTIGAS-6541;240247;10850;5;RÍO CUAREIM entre Ao. CUARÓ GRANDE y Ao. Yucutujá;Zanja del Sarandí;1693;129,32;3414470;12,1;;;;;;;;10;Nueva;Concesión
Represa Chica;SGRH-2007-10-004-0510-1-106;27/11/2019;Registrada;ARTIGAS;Marta Celina Lagreca;20/4/2007;27/11/2009;7/12/2009;0;700000;Riego;Arroz;-30,50864171;-57,64202597;12;3;2880;ARTIGAS-3449, ARTIGAS-3451;240258;11400;8;RÍO URUGUAY entre Ao. ÑAQUIÑÁ y Ao. Mandiyú;Cañada sin nombre;273;26,4;659000;5,5;;;;;;;;11;Renov/Modif;Concesión
Tajamar Grande;SGRH-2007-10-004-0510-1-107;7/5/2019;Registrada;ARTIGAS;Marta Celina Lagreca;20/4/2007;7/5/2009;7/5/2009;0;70000;Riego;Arroz;-30,49143839;-57,64690833;12;3;2880;ARTIGAS-3451;240259;11400;8;RÍO URUGUAY entre Ao. ÑAQUIÑÁ y Ao. Mandiyú;Cañada sin nombre;143;4,8;68000;3,5;;;;;;;;11;Renov/Modif;Permiso de uso
Represa Chica;SGRH-2007-10-004-0510-1-145;9/12/2019;Registrada;SAN JOSÉ; Aurea Patrón Habiaga;11/6/2007;9/12/2009;28/12/2009;0;244000;Riego;Cereales/Oleaginosas;-34,08471586;-56,68555715;12;3;2880;SAN JOSÉ-1741, SAN JOSÉ-7117;240299;65508;3;RÍO SAN JOSÉ entre Ao. CHAMIZO y Ao. Carreta Quemada;Cda. s/n;180;9,2;244000;7,5;;;;;;;;65;Nueva;Concesión
Represa Chica;SGRH-2007-10-004-0510-1-147;12/1/2020;Archivada con Resolución;SALTO;Leopoldo Amorín;14/6/2007;12/1/2010;14/1/2010;0;1743000;Riego;Arroz;-31,08946399;-57,47721072;12;3;2880;SALTO-1183, SALTO-1226, SALTO-7466, SALTO-7467;240301;13800;11;RÍO ARAPEY GRANDE entre Ao. TANGARUPÁ y Río Arapey Chico;Zanja tributaria;446;80,07;1743000;7,6;;;;;;;;13;Nueva;Concesión
Pozo;SGRH-2007-10-004-0510-1-148;17/2/2024;Registrada;MONTEVIDEO;Fanaprhu ;14/6/2007;17/2/2014;10/3/2014;11;52800;Industrial;Alimentos y bebidas;-34,80388698;-56,20797463;12;11;4800;MONTEVIDEO-44723;240302;26400;;RÍO DE LA PLATA entre Ao. MIGUELETE y Ao. Carrasco;264;;;;;;57;0,15;11;1;14;;26;Nueva;Permiso de uso
Pozo;SGRH-2007-10-004-0510-1-151;17/2/2021;Registrada;MONTEVIDEO;Vidriería Bia S.A. ;18/6/2007;17/2/2011;24/2/2011;1,5;3168;Industrial;Otros;-34,87064145;-56,16044365;12;11;2112;MONTEVIDEO-420619;240306;26400;;RÍO DE LA PLATA entre Ao. MIGUELETE y Ao. Carrasco;264;;;;;;75;0,15;1,5;18;64;;26;Nueva;Permiso de uso
Pozo;SGRH-2007-10-004-0510-1-155;6/8/2019;Registrada;MONTEVIDEO;Kareloy S.A. ;28/6/2007;6/8/2009;28/8/2009;2,8;12096;Industrial;Alimentos y bebidas;-34,6745216;-56,12188279;12;11;4320;CANELONES-1580;240310;63500;;Ao. CANELÓN GRANDE entre Ao. CANELÓN CHICO y Río Santa Lucía;635;;;;;;42;0,15;3,5;13;38;;63;Nueva;Permiso de uso
Pozo;SGRH-2007-10-004-0510-1-156;16/12/2023;Registrada;MONTEVIDEO;Kareloy S.A. ;28/6/2007;16/12/2013;30/1/2014;2,5;9000;Industrial;Alimentos y bebidas;-34,70689371;-56,28919964;12;11;3600;CANELONES-41133;240311;67310;3;Ao. COLORADO entre Ao. COLORADO CHICO y Ao. De Las Piedras;673;;;;;;39;0,1;3;5;20;;67;Nueva;Permiso de uso
Represa Grande;SGRH-2007-10-004-0510-1-194;26/12/2019;Archivada con Resolución;SALTO;San Ramón Soc. Ganadera ;31/7/2007;26/12/2009;26/3/2010;0;2050000;Riego;Arroz;-31,13082125;-56,94526899;12;3;2880;SALTO-425;240352;13415;;RÍO ARAPEY GRANDE entre Ao. MATAOJITO y Ao. Arerunguá;Cañada del Sauce;1200;59,13;2025080;10,4;;;;;;;;13;Nueva;Concesión
Represa Chica;SGRH-2007-10-004-0510-1-220;29/6/2021;Registrada;TACUAREMBÓ;Hijos De Ricardo R. López Soc. Civ. Ganad ;17/8/2007;29/6/2011;11/7/2011;0;1900000;Riego;Arroz;-32,28937385;-55,45637541;12;3;2880;TACUAREMBÓ-14294;240382;53870;;RÍO TACUAREMBÓ entre Ao. CARAGUATÁ y Río Negro;Cda. sin nombre;382;47;1900000;6,8;;;;;;;;53;Renov/Modif;Concesión
Represa Chica;SGRH-2007-10-004-0510-1-222;1/11/2022;Registrada;TACUAREMBÓ;Washington Hugo Olano Pagola;30/8/2007;1/11/2012;7/11/2012;0;1035000;Otros usos agropecuarios;Abrevadero de ganado;-32,19605123;-55,83427747;4;3;8640;TACUAREMBÓ-6405, TACUAREMBÓ-8487;240384;54102;3;Ao. DE CLARA;Cda. s/n;249;43,4;1035000;7,8;;;;;;;;54;Cesión;Concesión
Represa Mediana;SGRH-2007-10-004-0510-1-227;30/9/2019;Registrada;TACUAREMBÓ;Marta Carina Losser;5/9/2007;30/9/2009;8/10/2009;0;2312500;Riego;Arroz;-32,69862608;-56,82836835;12;3;2880;RÍO NEGRO-2608;240389;55600;;RÍO NEGRO entre Ao. ROLÓN y Ao. Molles De Porrúa;Cda. sin nombre;580;94;3292000;10,5;;;;;;;;55;Renov/Modif;Concesión
Represa Chica;SGRH-2007-10-004-0510-1-236;26/2/2019;Archivada con Resolución;DURAZNO;Gabegim S.A.L. ;7/9/2007;26/2/2009;16/3/2009;0;817300;Riego;Forraje/Pradera/Semillas;-33,79930001;-55,686828;12;3;2880;FLORIDA-17121, FLORIDA-17902;240398;56400;9;RÍO YÍ entre Ao. TIMOTE y Ao. De Castro;Cda. sin nombre;383;29,6;817300;9,4;;;;;;;;56;Nueva;Concesión
Represa Mediana;SGRH-2007-10-004-0510-1-239;26/2/2019;Registrada;DURAZNO;Gabegim S.A.L. ;7/9/2007;26/2/2009;10/3/2009;0;1700000;Riego;Forraje/Pradera/Semillas;-33,80262865;-55,67041941;12;3;2880;FLORIDA-17050, FLORIDA-17055, FLORIDA-17056, FLORIDA-17059, FLORIDA-17060, FLORIDA-17061, FLORIDA-17062, FLORIDA-17068, FLORIDA-17081, FLORIDA-17082, FLORIDA-17083, FLORIDA-17089, FLORIDA-17090, FLORIDA-17091, FLORIDA-17092, FLORIDA-17899;240400;56400;;RÍO YÍ entre Ao. TIMOTE y Ao. De Castro;Cda. sin nombre;987;53,5;1695000;10,5;;;;;;;;56;Nueva;Concesión
Pozo;SGRH-2007-10-004-0510-1-242;18/11/2020;Registrada;MONTEVIDEO;Villa Rural ;18/9/2007;18/11/2010;30/11/2010;1,3;1560;Consumo humano;Uso doméstico;-34,66415478;-55,38280716;12;11;1200;MALDONADO-1400;240404;28700;;Ao. SOLÍS GRANDE entre Ao. CURUPÍ y Ao. Navarro;287;;;;;;32;0,15;1,3;;;;28;Nueva;Permiso de uso
Pozo;SGRH-2007-10-004-0510-1-243;18/11/2020;Registrada;MONTEVIDEO;Villarural S.A. ;18/9/2007;18/11/2010;23/11/2010;1,5;1800;Consumo humano;Uso doméstico;-34,66490186;-55,38248702;12;11;1200;MALDONADO-1400;240405;28700;;Ao. SOLÍS GRANDE entre Ao. CURUPÍ y Ao. Navarro;287;;;;;;45;0,15;1,5;;;;28;Nueva;Permiso de uso
Pozo;SGRH-2007-10-004-0510-1-244;18/11/2020;Registrada;MONTEVIDEO;Villarural S.A. ;18/9/2007;18/11/2010;30/11/2010;1;1200;Industrial;Forestal;-34,65940891;-55,37372177;12;11;1200;MALDONADO-30168;240406;28700;;Ao. SOLÍS GRANDE entre Ao. CURUPÍ y Ao. Navarro;287;;;;;;55;0,15;4;12;50;;28;Nueva;Permiso de uso
Pozo;SGRH-2007-10-004-0510-1-246;27/11/2019;Archivada con Resolución;SAN JOSÉ;Limay SRL ;18/9/2007;27/11/2009;7/12/2009;12;63360;Industrial;Otros;-34,7439407;-56,42182546;12;11;5280;SAN JOSÉ-18201;240408;24810;;RÍO DE LA PLATA entre Ao. DEL TIGRE y Río Santa Lucía;248;;;;;;33,3;0,15;18;11,4;12,6;;24;Nueva;Permiso de uso
Represa Chica;SGRH-2007-10-004-0510-1-249;27/11/2019;Registrada;TACUAREMBÓ;Luis Siqueira;20/9/2007;27/11/2009;7/12/2009;0;192050;Riego;Arroz;-32,02595976;-55,29434401;12;3;2880;TACUAREMBÓ-9437;240411;53664;;RÍO TACUAREMBÓ entre Ao. YAGUARÍ y Ao. Caraguatá;Cda. Las Piedras;55;11,1;192000;6,5;;;;;;;;53;Renov/Modif;Permiso de uso
Represa Mediana;SGRH-2007-10-004-0510-1-259;6/12/2020;Registrada;ARTIGAS;Gintec S.A. ;17/10/2007;6/12/2010;17/12/2010;0;2960000;Riego;Arroz;-30,47737424;-57,18017074;12;3;2880;ARTIGAS-5165, ARTIGAS-6540, ARTIGAS-6541;240418;10860;5;RÍO CUAREIM entre Ao. CUARÓ GRANDE y Ao. Yucutujá;Cañada sin nombre;587;101,79;2954000;9;;;;;;;;10;Nueva;Concesión
Represa Grande;SGRH-2007-10-004-0510-1-261;27/12/2020;Registrada;TACUAREMBÓ;Heber Gustavo Formoso Zaballa;18/10/2007;27/12/2010;31/12/2010;0;2372900;Riego;Arroz;-32,0918438;-55,11389913;12;3;2880;TACUAREMBÓ-14100;240421;53830;;RÍO TACUAREMBÓ entre Ao. CARAGUATÁ y Río Negro;Cda. Isla Muerta;1510;95,82;2372000;7,2;;;;;;;;53;Nueva;Concesión
Represa Mediana;SGRH-2007-10-004-0510-1-262;16/12/2019;Registrada;TACUAREMBÓ;Yugal S.A. ;18/10/2007;16/12/2009;23/2/2010;0;696000;Riego;Cereales/Oleaginosas;-32,36021614;-56,37618489;12;3;2880;TACUAREMBÓ-14966;240422;55413;;RÍO NEGRO entre Ao. SALSIPUEDES GRANDE y Ao. Tres Árboles;Cda. s/n;875;28;696000;9,5;;;;;;;;55;Nueva;Concesión
Tajamar Mediano;SGRH-2007-10-004-0510-1-265;13/5/2021;Registrada;SALTO;Tierra Natural S.A. ;19/10/2007;13/5/2011;24/5/2011;0;15000;Riego;Frutales;-31,53880268;-57,82566585;12;3;2880;PAYSANDÚ-5696, PAYSANDÚ-5943;240425;15840;4;RÍO DAYMÁN entre Ao. LAURELES GRANDE y RÍO URUGUAY;Ao. de los Chanchos;345;2,63;15000;2,5;;;;;;;;15;Nueva;Permiso de uso
Pozo;SGRH-2007-10-004-0510-1-269;16/9/2019;Registrada;SAN JOSÉ;Conaprole ;24/10/2007;16/9/2009;18/9/2009;7;40320;Industrial;Otros;-34,49379674;-56,85005246;12;11;5760;SAN JOSÉ-6768;240429;24405;;RÍO DE LA PLATA entre Ao. LUIS PEREIRA y Ao. Sauce;244;;;;;;20;0,15;7;2,5;6,55;;24;Nueva;Permiso de uso
Pozo;SGRH-2007-10-004-0510-1-270;16/9/2019;Archivada con Resolución;SAN JOSÉ;Conaprole ;25/10/2007;16/9/2009;18/9/2009;12;69120;Industrial;Otros;-34,38919416;-56,84935338;12;11;5760;SAN JOSÉ-2544;240431;24400;2;RÍO DE LA PLATA entre Ao. LUIS PEREIRA y Ao. Sauce;244;;;;;;30;0,2;12;7;10,9;;24;Nueva;Permiso de uso
