Tipo de Obra;Nro. GEX;Fecha Vencimiento;Estado;Regional;Solicitantes;Fecha de Solicitud;Fecha de Resolución;Fecha de Inscripción;Cadual;Volumen;Uso;Destino;Lat;Lon;Mes Inicio;Mes Final;Horas x Año;Depto.-Padrón;Id Solicitud;Codigo Cuencas de nivel 5;Sección Judicial;Cuencas de nivel 3;Curso a Utilizar;Área de Cuenca;Área de Embalse;Volúmen de Embalse;Altura Máxima;Tipo de acuifero;profundidad;Diámetro;Caudal Ensayado;Nivel Estático;Nivel Dinámico;Caudal Máximo;Codigo Cuencas de nivel 2;Accion Solicitud;Tipo Resolución
Pozo;SGRH-2016-10-004-0510-1-169;1/9/2020;Registrada;MONTEVIDEO;TILEO S.A. ;1/4/2016;27/6/2016;15/7/2016;1,5;8640;Industrial;Otros;-34,48245474;-56,00841707;12;11;5760;CANELONES-60229;244509;63000;12;Ao. CANELÓN GRANDE entre nacientes y Ao. Canelón Chico;630;;;;;;33;150;1,5;5;15;;63;Nueva;Permiso de uso
Toma;SGRH-2016-10-004-0510-1-170;30/6/2019;Archivada con Resolución;TREINTA Y TRES;SADIRAL S.A. ;1/4/2016;26/6/2017;3/8/2017;1800;12000000;Riego;Sistema de riego;-33,30260559;-53,88709554;12;3;2880;TREINTA Y TRES-7922;244511;44750;7;RÍO CEBOLLATÍ entre Ao. CORRALES y Río Olimar Grande;Río Cebollatí;;;;;;;;;;;1800;44;Renov/Modif;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-171;26/10/2050;Registrada;TREINTA Y TRES;OSE ;4/4/2016;26/10/2015;13/4/2016;2;11520;Consumo humano;Abastecimiento a poblaciones;-34,53202208;-55,46449708;12;11;5760;LAVALLEJA-4146;244512;28300;2;Ao. SOLÍS GRANDE entre Ao. DE LOS CHANCHOS y Ao. Mataojo;283;;;;;;60;152,4;2;5,5;45;;28;Nueva;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-172;1/3/2020;Registrada;MONTEVIDEO;TILEO S.A. ;4/4/2016;11/7/2016;27/7/2016;3;17280;Industrial;Otros;-34,48244573;-56,00841704;12;11;5760;CANELONES-60229;244513;63000;12;Ao. CANELÓN GRANDE entre nacientes y Ao. Canelón Chico;630;;;;;;62;150;3;5,4;15,96;;63;Nueva;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-173;26/10/2050;Registrada;MONTEVIDEO;OSE ;4/4/2016;26/10/2015;12/4/2016;0,2;1152;Consumo humano;Abastecimiento a poblaciones;-34,81174964;-55,10119661;12;11;5760;MALDONADO-30005;244514;29520;1;Ao. DEL POTRERO / LAGUNA DEL SAUCE;295;;;;;;75;152,4;0,2;4;67;;29;Nueva;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-174;1/9/2026;Registrada;MONTEVIDEO;Milton Posse Baracco ;5/4/2016;1/9/2016;7/11/2016;16;1440;Riego;Otros;-34,80810598;-56,26561172;12;5;90;MONTEVIDEO-167237;244515;26200;21;RÍO DE LA PLATA entre Ao. PANTANOSO y Ao. Miguelete;262;;;;;;51;152,4;16;11,3;40;;26;Nueva;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-175;15/6/2026;Archivada con Resolución;MONTEVIDEO;TAYM S.A. ;5/4/2016;15/6/2016;20/6/2016;3;1080;Otros usos;Comercial y servicios;-34,8688765;-56,08505938;12;11;360;MONTEVIDEO-416739;244516;26610;10;RÍO DE LA PLATA entre Ao. CARRASCO y Ao. Pando;266;;;;;;40;0,28;3;12,5;29,5;;26;Nueva;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-176;30/6/2027;Archivada con Resolución;SAN JOSÉ;Hortifrutícola Del Kiyu S.C. ;6/4/2016;18/1/2017;3/2/2017;29;81200;Riego;Frutales;-34,65656781;-56,80756277;12;6;2800;SAN JOSÉ-5834;244517;24600;6;RÍO DE LA PLATA entre Ao. SAN GREGORIO y Ao. Mauricio;246;;;;;;28;152,4;39;4;7;;24;Renov/Modif;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-177;30/6/2026;Registrada;SAN JOSÉ;Hortifrutícola Del Kiyu S.C. ;6/4/2016;20/1/2017;8/2/2017;19;53200;Riego;Frutales;-34,65716792;-56,81128979;12;6;2800;SAN JOSÉ-5834;244518;24600;6;RÍO DE LA PLATA entre Ao. SAN GREGORIO y Ao. Mauricio;246;;;;;;36;152,4;25;16;24;;24;Renov/Modif;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-178;30/6/2026;Registrada;SAN JOSÉ;Hortifrutícola Del Kiyu S.C. ;6/4/2016;1/2/2017;2/3/2017;18;50400;Riego;Frutales;-34,65901922;-56,80542162;12;6;2800;SAN JOSÉ-5834;244519;24600;6;RÍO DE LA PLATA entre Ao. SAN GREGORIO y Ao. Mauricio;246;;;;;;29;152;25;16;20;;24;Nueva;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-179;30/6/2026;Registrada;SAN JOSÉ;Hortifrutícola Del Kiyu S.C. ;7/4/2016;1/2/2017;10/3/2017;26;72800;Riego;Frutales;-34,65849712;-56,80095371;12;6;2800;SAN JOSÉ-13332;244520;24600;6;RÍO DE LA PLATA entre Ao. SAN GREGORIO y Ao. Mauricio;246;;;;;;26;152;35;4;9;;24;Renov/Modif;Permiso de uso
Toma;SGRH-2016-10-004-0510-1-18;30/6/2021;Registrada;FRAY BENTOS;Monte Del Sur S.A. ;13/1/2016;15/8/2016;14/9/2016;100;526000;Riego;Cereales/Oleaginosas;-33,11368034;-58,03661221;12;3;2880;RÍO NEGRO-21, RÍO NEGRO-32;244521;58710;;RÍO NEGRO entre Ao. COLOLÓ y Ao. Bequeló;Río Negro;;;;;;;;;;;;58;Nueva;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-180;30/6/2026;Registrada;SAN JOSÉ;Hortifrutícola Del Kiyu S.C. ;7/4/2016;1/2/2017;23/2/2017;37;103600;Riego;Frutales;-34,65370232;-56,80088515;12;6;2800;SAN JOSÉ-5834;244522;24600;6;RÍO DE LA PLATA entre Ao. SAN GREGORIO y Ao. Mauricio;246;;;;;;30;330;50;2,5;13,5;;24;Renov/Modif;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-181;30/6/2027;Registrada;SAN JOSÉ;Hortifrutícola Del Kiyu S.C. ;7/4/2016;1/2/2017;22/2/2017;35;98000;Riego;Frutales;-34,6597566;-56,79354;12;6;2800;SAN JOSÉ-11521;244523;24600;6;RÍO DE LA PLATA entre Ao. SAN GREGORIO y Ao. Mauricio;246;;;;;;34;200;47;4;13;;24;Renov/Modif;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-182;30/6/2026;Registrada;SAN JOSÉ;Hortifrutícola Del Kiyu S.C. ;7/4/2016;18/1/2017;9/2/2017;15;42000;Riego;Frutales;-34,66222638;-56,79905674;12;6;2800;SAN JOSÉ-11512;244524;24600;6;RÍO DE LA PLATA entre Ao. SAN GREGORIO y Ao. Mauricio;246;;;;;;46;152;20;6;12;;24;Renov/Modif;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-183;30/6/2026;Registrada;SAN JOSÉ;Frutícola Libertad S.A. ;8/4/2016;2/1/2017;31/1/2017;34;95200;Riego;Frutales;-34,64886313;-56,64987947;12;6;2800;SAN JOSÉ-17009;244525;24700;6;RÍO DE LA PLATA entre Ao. MAURICIO y Ao. Del Tigre;247;;;;;;47,5;250;60;23;47;;24;Renov/Modif;Permiso de uso
Pozo;SGRH-2016-10-004-0510-1-185;30/6/2026;Registrada;SAN JOSÉ;Frutícola Libertad S.A. ;8/4/2016;17/1/2017;1/2/2017;37;103600;Riego;Frutales;-34,64625918;-56,64972201;12;6;2800;SAN JOSÉ-17008;244527;24700;6;RÍO DE LA PLATA entre Ao. MAURICIO y Ao. Del Tigre;247;;;;;;50;152;44;;;;24;Renov/Modif;Permiso de uso
